UNIQUE ID,REFERENCE NAME,HGNC ID,EntrezGene official name (Human),EntrezGeneID (Human),EntrezGene Symbol (Human),EntrezGene Aliases (Human),EntrezGene Additional Names (Human),MGI ID,EntrezGeneofficial name (Mouse),EntrezGeneID (Mouse),EntrezGene Symbol (Mouse),EntrezGene Aliases (Mouse),EntrezGene Additional Names (Mouse),UniProtDB ID (Human),UniProt protein name (Human),UniProt protein alternative names (Human),UniProtID (Mouse),UniProt protein name (Mouse),UniProt protein alternative names (Mouse),MeSH ID,MeSH Name,Typographical variations,Shen-Orr ID,IX Synonyms,Protein Ontology ID,Protein Ontology name,Protein Ontology synonyms,Protein Ontology URL,OMIM ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_56,CKLF-like MARVEL transmembrane domain containing 6,HGNC:19177,CKLF-like MARVEL transmembrane domain containing 6,54918,CMTM6 ,CKLFSF6;PRO2219;,chemokinelike factor superfamily 6;chemokinelike factor superfamily member 6;chemokinelike factor super family 6;CKLFlike MARVEL transmembrane domaincontaining protein 6;,MGI:2447165,CKLF-like MARVEL transmembrane domain containing 6,67213,Cmtm6 ,Cklfsf6;AA536733;2810051A14Rik;,chemokinelike factor super family 6;chemokinelike factor superfamily 6;chemokinelike factor superfamily member 6;CKLFlike MARVEL transmembrane domaincontaining protein 6;,CKLF6_HUMAN,CKLF-like MARVEL transmembrane domain-containing protein 6,Chemokine-like factor superfamily member 6;,CKLF6_MOUSE,CKLF-like MARVEL transmembrane domain-containing protein 6,Chemokine-like factor superfamily member 6;,,,,201,cmtm6;flj20396;cmtm-6;pro2219;cklfsf6;cklf-like marvel transmembrane domain containing 6;,PR:000029359,CKLF-like MARVEL transmembrane domain-containing protein 6,CMTM6;CKLFSF6;chemokine-like factor superfamily member 6;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000029359,607889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_57,CKLF-like MARVEL transmembrane domain containing 7,HGNC:19178,CKLF-like MARVEL transmembrane domain containing 7,112616,CMTM7 ,CKLFSF7;,CKLFlike MARVEL transmembrane domaincontaining protein 7;chemokinelike factor superfamily member 7;chemokinelike factor superfamily 7;chemokinelike factor super family 7;chemokinelike factor super family member 7 variant 2;,MGI:2447166,CKLF-like MARVEL transmembrane domain containing 7,102545,Cmtm7 ,LNV;Cklfsf7;AI481279;,CKLFlike MARVEL transmembrane domaincontaining protein 7;chemokinelike factor superfamily member 7;chemokinelike factor super family 7;,CKLF7_HUMAN,CKLF-like MARVEL transmembrane domain-containing protein 7,Chemokine-like factor superfamily member 7;,CKLF7_MOUSE,CKLF-like MARVEL transmembrane domain-containing protein 7,Chemokine-like factor superfamily member 7;LNV;,,,,203,cmtm7;cmtm-7;cklfsf7;cklf-like marvel transmembrane domain containing 7;flj30992;,PR:000031311,CKLF-like MARVEL transmembrane domain-containing protein 7,Lnv;CMTM7;chemokine-like factor superfamily member 7;CKLFSF7;LNV;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000031311,607890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_58,Epidermal growth factor,HGNC:3229,epidermal growth factor,1950,EGF ,URG;HOMG4;,proepidermal growth factor;betaurogastrone;,MGI:95290,epidermal growth factor,13645,Egf ,AI790464;,Proepidermal growth factor precursor (EGF);proepidermal growth factor;,EGF_HUMAN,Epidermal growth factor,EGF;Urogastrone;,EGF_MOUSE,Epidermal growth factor,EGF;,D004815,Epidermal Growth Factor,Epidermal Growth Factor;EGF;,329,Epidermal_growth_factor;,PR:000006928,pro-epidermal growth factor,EGF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000006928,131530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_59,Erythropoietin,HGNC:3415,erythropoietin,2056,EPO ,EP;MVCD2;,epoetin;erythropoietin;,MGI:95407,erythropoietin,13856,Epo ,,erythropoietin;,EPO_HUMAN,Erythropoietin,,EPO_MOUSE,Erythropoietin,,D004921,Erythropoietin,Erythropoietin;,,,PR:000007141,erythropoietin,epoetin;EPO;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007141,133170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_6,CCL4L1,HGNC:10631,chemokine (C-C motif) ligand 4-like 1,388372,CCL4L1 ,LAG1;CCL4L;LAG-1;SCYA4L;AT744.2;SCYA4L1;,"CC motif chemokine 4like;chemokine (CC motif) ligand 4like 1, telomeric;macrophage inflammatory protein1b2;lymphocyte activation gene 1;small inducible cytokine A4like;CC chemokine ligand 4L1;",,,,,,,CC4L_HUMAN,C-C motif chemokine 4-like,Lymphocyte activation gene 1 protein;LAG-1;Macrophage inflammatory protein 1-beta;MIP-1-beta;Monocyte adherence-induced protein 5-alpha;Small-inducible cytokine A4-like;,,,,D054407,Chemokine CCL4,,261,ccl4l1;scya4l;chemokine (c-c motif) ligand 4-like 1;c-c motif chemokine 4-like;at744.2;lag-1;lag1;ccl4l;,,,,,603782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_60,Fibroblast Growth Factor-1,HGNC:3665,fibroblast growth factor 1 (acidic),2246,FGF1 ,AFGF;ECGF;FGFA;ECGFA;ECGFB;FGF-1;HBGF1;HBGF-1;GLIO703;ECGF-beta;FGF-alpha;,"betaendothelial cell growth factor;endothelial cell growth factor, beta;endothelial cell growth factor, alpha;fibroblast growth factor 1;heparinbinding growth factor 1;",MGI:95515,fibroblast growth factor 1,14164,Fgf1 ,Fam;Fgfa;Dffrx;Fgf-1;,HBGF1;heparinbinding growth factor 1;fibroblast growth factor 1 (acidic);acidic fibroblast growth factor;aFGF;fibroblast growth factor 1;,FGF1_HUMAN,Fibroblast growth factor 1,FGF-1;Acidic fibroblast growth factor;aFGF;Endothelial cell growth factor;ECGF;Heparin-binding growth factor 1;HBGF-1;,FGF1_MOUSE,Fibroblast growth factor 1,FGF-1;Acidic fibroblast growth factor;aFGF;Heparin-binding growth factor 1;HBGF-1;,D016220,Fibroblast Growth Factor 1,Fibroblast Growth Factor 1;FGF1;FGF-1;,327,Fibroblast_Growth_Factor-1;ecgfb;ecgfa;fgf-a;glio703;fgfa;beta-endothelial cell growth factor;ecgf-beta;ecgf-(beta);fgf-alpha;fgf(alpha);fibroblast growth factor 1;acidic fibroblast growth factor;ecgf;afgf;fgf1;hbgf1;hbgf-1;fgf-1;(alpha)-fgf;fgf-(alpha);alpha-fgf;heparin-binding growth factor 1;fibroblast growth factor-1;(alpha)fgf;,PR:000007479,heparin-binding growth factor 1,ECGF-beta;FGF1PRO-short-label;FGFA (RELATED);Fgf-1 (RELATED);HBGF-1;aFGF;acidic fibroblast growth factor;beta-endothelial cell growth factor;heparin-binding growth factor 1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007479,131220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_61,Fibroblast Growth Factor-2,HGNC:3676,fibroblast growth factor 2 (basic),2247,FGF2 ,BFGF;FGFB;FGF-2;HBGF-2;,basic fibroblast growth factor bFGF;prostatropin;fibroblast growth factor 2;heparinbinding growth factor 2;,MGI:95516,fibroblast growth factor 2,14173,Fgf2 ,Fgfb;bFGF;Fgf-2;,basic fibroblast growth factor;HBGF2;heparinbinding growth factor 2;fibroblast growth factor 2;,FGF2_HUMAN,Fibroblast growth factor 2,FGF-2;Basic fibroblast growth factor;bFGF;Heparin-binding growth factor 2;HBGF-2;,FGF2_MOUSE,Fibroblast growth factor 2,FGF-2;Basic fibroblast growth factor;bFGF;Heparin-binding growth factor 2;HBGF-2;,D016222,Fibroblast Growth Factor 2,Fibroblast Growth Factor 2; FGF2;FGF-2;,325,Fibroblast_Growth_Factor-2;fgfb;(beta)-fgf;fgf(beta);beta-fgf;basic fibroblast growth factor;fgf-(beta);fibroblast growth factor 2;hbgf-2;fgf2;(beta)fgf;hbgf2;heparin-binding growth factor 2;fgf-2;bfgf;fibroblast growth factor-2;fgf-beta;,PR:000007489   ,fibroblast growth factor 2,BFGF;FGF2PRO-short-label;FGFB (RELATED);Fgf-2 (RELATED);HBGF-2;basic fibroblast growth factor;heparin-binding growth factor 2;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007489   ,134920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_62,Granulocyte Colony-Stimulating Factor,HGNC:2438,colony stimulating factor 3 (granulocyte),1440,CSF3 ,GCSF;CSF3OS;C17orf33;,filgrastim;lenograstim;granulocyte colonystimulating factor;pluripoietin;,MGI:1339751,colony stimulating factor 3 (granulocyte),12985,Csf3 ,Csfg;G-CSF;MGI-IG;,granulocyte colonystimulating factor;,CSF3_HUMAN,Granulocyte colony-stimulating factor,G-CSF;Pluripoietin;,CSF3_MOUSE,Granulocyte colony-stimulating factor,G-CSF;,D016179,Granulocyte Colony-Stimulating Factor,CSF3;G-CSF;GCSF;Granulocyte Colony-Stimulating Factor;granulocyte colony stimulating factor;,317,Granulocyte_Colony_Stimulating_Factor;granulocyte colony-stimulating factor;mgc45931;granulocyte-colony stimulating factor 3;csf-3;lenograstim;gcsf;pluripoietin;g-csf;granulocyte colony stimulating factor 3;csf3;colony stimulating factor 3;filgrastim;,PR:000005932,granulocyte colony-stimulating factor,filgrastim;CSF3;lenograstim;G-CSF;Csfg;pluripoietin;GCSF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005932,138970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_63,Granulocyte-Macrophage Colony-Stimulating Factor,HGNC:2434,colony stimulating factor 2 (granulocyte-macrophage),1437,CSF2 ,GMCSF;,molgramostin;sargramostim;granulocytemacrophage colonystimulating factor;CSF;,MGI:1339752,colony stimulating factor 2 (granulocyte-macrophage),12981,Csf2 ,Csfgm;GMCSF;Gm-CSf;MGI-IGM;,granulocytemacrophage colony stimulating factor 2;granulocytemacrophage colonystimulating factor;put. GMCSF;colonystimulating factor;CSF;,CSF2_HUMAN,Granulocyte-macrophage colony-stimulating factor,GM-CSF;Colony-stimulating factor;CSF;Molgramostin;Sargramostim;,CSF2_MOUSE,Granulocyte-macrophage colony-stimulating factor,GM-CSF;Colony-stimulating factor;CSF;,D016178,Granulocyte-Macrophage Colony-Stimulating Factor,CSF;CSF2;GM-CSF;GMCSF;Granulocyte-Macrophage Colony-Stimulating Factor;colony-stimulating factor;granulocyte-macrophage colony stimulating factor;,319,Granulocyte_Macrophage_Colony-Stimulating_Factor;sargramostim;csf-2;granulocyte-macrophage colony stimulating factor 2;gmcsf;csf2;molgramostin;colony stimulating factor 2;mgc131935;mgc138897;gm-csf;,PR:000005931,granulocyte-macrophage colony-stimulating factor,molgramostin;sargramostim;CSF2;GM-CSF;colony-stimulating factor;GMCSF;Csfgm;CSF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005931,138960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_64,Growth Differentiation Factor 15,HGNC:30142,growth differentiation factor 15,9518,GDF15 ,PDF;MIC1;PLAB;MIC-1;NAG-1;PTGFB;GDF-15;,NSAID (nonsteroidal antiinflammatory drug)activated protein 1;NSAIDregulated gene 1 protein;growth/differentiation factor 15;macrophage inhibitory cytokine 1;prostate differentiation factor;NRG1;NSAIDactivated gene 1 protein;PTGFbeta;placental bone morphogenetic protein;placental TGFbeta;,MGI:1346047,growth differentiation factor 15,23886,Gdf15 ,SBF;MIC-1;NAG-1;,macrophage inhibiting cytokine1;growth/differentiation factor 15;GDF15;,GDF15_HUMAN,Growth/differentiation factor 15,GDF-15;Macrophage inhibitory cytokine 1;MIC-1;NSAID-activated gene 1 protein;NAG-1;NSAID-regulated gene 1 protein;NRG-1;Placental TGF-beta;Placental bone morphogenetic protein;Prostate differentiation factor;,GDF15_MOUSE,Growth/differentiation factor 15,GDF-15;,D055436,Growth Differentiation Factor 15,Growth Differentiation Factor 15;,,,PR:000007920,growth/differentiation factor 15,GDF-15;Sbf;NAG-1;prostate differentiation factor;macrophage inhibitory cytokine 1;placental TGF-beta;GDF15;NRG-1;PTGFB;NSAID-regulated gene 1 protein;PDF;placental bone morphogenetic protein;MIC1;NSAID-activated gene 1 protein;PLAB;MIC-1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000007920,605312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_65,Hepatocyte Growth Factor,HGNC:4893,hepatocyte growth factor (hepapoietin A; scatter factor),3082,HGF ,SF;HGFB;HPTA;F-TCF;DFNB39;,lung fibroblastderived mitogen;hepatocyte growth factor;hepatopoietinA;fibroblastderived tumor cytotoxic factor;hepatopoeitinA;,MGI:96079,hepatocyte growth factor,15234,Hgf ,SF;NK1;NK2;HGF/SF;SF/HGF;C230052L06Rik;,hepatocyte growth factor;hepatopoietinA;scatter factor;,HGF_HUMAN,Hepatocyte growth factor beta chain,Hepatopoietin-A;Scatter factor;SF;,HGF_MOUSE,Hepatocyte growth factor beta chain,Hepatopoietin-A;Scatter factor;SF;,D017228,Hepatocyte Growth Factor,Hepatocyte Growth Factor;,335,Hepatocyte_Growth_Factor;hepatocyte growth factor;ftcf;hgfb;hepapoietin a;sf;hpta;hgf;f-tcf;hepapoietin-a;scatter factor;,PR:000008534,hepatocyte growth factor,hepatopoeitin-A;HGF;scatter factor;HPTA;SF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008534,142409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_66,Interferon Type I,,,,,,,,,,,,,,,,,,,D007370,Interferon Type I,Interferon Type 1;Interferon Type I;,,,PR:000025848,type I interferon,IFN type I;interferon type I;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000025848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_67,Interferon-alpha,,,,,,,MGI:107670,interferon alpha,111654,Ifna ,Ifa;Ifa8;,,,,,,,,D016898,Interferon-alpha,Interferon a;IFNa;IFN-a;IFN-alpha;IFN alpha;Interferon alpha;alpha interferon;a interferon;Interferon-a;Interferon-alpha;,9,"Interferon-alpha;ifn-alpha;alpha-ifn;ifna;ifn{alpha};ifn(alpha);interferon alpha;alpha-interferon;alpha interferon;interferon, alpha;ifn-a;",PR:000024938,interferon alpha,,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000024938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_68,Interferon-alpha 1,HGNC:5417,"interferon, alpha 1",3439,IFNA1 ,IFL;IFN;IFNA;IFNA13;IFN-ALPHA;IFN-alphaD;,interferonalpha1;interferon alphaD;interferon alpha1/13;IFNalpha 1b;leIF D;IFNalpha1/13;interferon alpha 1b;,MGI:107668,interferon alpha 1,15962,Ifna1 ,Ifa1;,IFNalpha1;interferon alpha family gene 1;interferon alpha1;,IFNA1_HUMAN,Interferon alpha-1/13,IFN-alpha-1/13;Interferon alpha-D;LeIF D;,IFNA1_MOUSE,Interferon alpha-1,IFN-alpha-1;,,,,10,Interferon_alpha_1;,PR:000009177,interferon alpha-1,,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000009177,147660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_69,interferon-alpha 10,HGNC:5418,"interferon, alpha 10",3446,IFNA10 ,IFN-alphaC;,IFNalpha10;interferon alpha10;leIF C;interferon alphaC;interferon alpha6L;,MGI:107667,interferon alpha 10,110296,Ifna10 ,Ifa10;,"interferon alpha family, gene 10;interferon alpha 10;interferon alpha family, gene 10GENE LINKOUTThe following LinkOut(www.ncbi.nlm.nih.gov/projects/linkout/index.html) resourcesare supplied by external providers. These providers are responsible formaintaining the links.;",IFN10_HUMAN,Interferon alpha-10,IFN-alpha-10;Interferon alpha-6L;Interferon alpha-C;LeIF C;,,,,,,,33,"interferon_alpha_10;interferon alpha-10;interferon alpha-c;ifn-alpha-10;interferon, alpha-10;interferon alpha-6l;interferon alpha 10;interferon, alpha 10;leif c;mgc119878;ifn-alpha 10;ifna10;mgc119879;",PR:000008911,interferon alpha-10,interferon alpha-C;IFN-alpha-10;interferon alpha-6L;LeIF C;IFNA10;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008911,147577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_7,CCL4L2,HGNC:24066,chemokine (C-C motif) ligand 4-like 2,9560,CCL4L2 ,CCL4L;SCYA4L;AT744.2;SCYQ4L2;,MIP1beta;CC motif chemokine 4like;macrophage inflammatory protein1b2;monocyte adherenceinduced protein 5alpha;small inducible cytokine A4like;macrophage inflammatory protein 1beta;,,,,,,,,,,,,,D054407,Chemokine CCL4,,259,ccl4l2;chemokine (c-c motif) ligand 4-like 2;scya4l;at744.2;,PR:000005112,C-C motif chemokine 4-like,monocyte adherence-induced protein 5-alpha;small-inducible cytokine A4-like;LAG-1;CCL4L2;macrophage inflammatory protein 1-beta;MIP-1-beta;SCYA4L2;CCL4L;lymphocyte activation gene 1 protein;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000005112,610757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_70,Interferon-alpha 13,HGNC:5419,"interferon, alpha 13",3447,IFNA13 ,,interferon alphaD;interferon alpha1/13;leIF D;IFNalpha1/13;,MGI:2667155,interferon alpha 13,230396,Ifna13 ,,"IFNalpha13;interferon alpha family, gene 13;interferon alpha13;",IFNA1_HUMAN,Interferon alpha-1/13,IFN-alpha-1/13;Interferon alpha-D;LeIF D;,IFNAD_MOUSE,Interferon alpha-13,IFN-alpha-13;,,,,12,Interferon_alpha_13;,PR:000032985,interferon alpha-13,Ifna13;IFN-alpha-13;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000032985,147578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_71,Interferon-alpha 14,HGNC:5420,"interferon, alpha 14",3448,IFNA14 ,LEIF2H;IFN-alphaH;,IFNalpha14;interferon alpha14;interferon alphaH;leIF H;interferon lambda2H;,MGI:3641425,interferon alpha 14,404549,Ifna14 ,OTTMUSG00000007662;,interferon alpha 14;,IFN14_HUMAN,Interferon alpha-14,IFN-alpha-14;Interferon alpha-H;LeIF H;Interferon lambda-2-H;,Q810G3_MOUSE,,,,,,14,Interferon_alpha_14;,PR:000008912,interferon alpha-14,IFNA14;interferon lambda-2-H;interferon alpha-H;IFN-alpha-14;LeIF H;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008912,147579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_72,Interferon-alpha 16,HGNC:5421,"interferon, alpha 16",3449,IFNA16 ,IFN-alphaO;,IFNalphaNprotein;IFNalpha16;interferon alphaWA;interferon alpha16;,MGI:3649260,interferon alpha 16,230398,Ifna16 ,Ifna6T;Ifnat6;Gm13280;BC114392;OTTMUSG00000011275;,interferon alpha 6T;interferon alpha 16;,IFN16_HUMAN,Interferon alpha-16,IFN-alpha-16;Interferon alpha-WA;,Q810G1_MOUSE,,,,,,16,Interferon_alpha_16;,PR:000008913,interferon alpha-16,interferon alpha-WA;IFN-alpha-16;IFNA16;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008913,147580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_73,interferon-alpha 17,HGNC:5422,"interferon, alpha 17",3451,IFNA17 ,IFNA;INFA;LEIF2C1;IFN-alphaI;,interferon alphaI';leIF I;IFNalpha17;interferon alpha17;interferon alphaWA;interferon alphaT;interferon alpha88;,,,,,,,IFN17_HUMAN,Interferon alpha-17,IFN-alpha-17;Interferon alpha-88;Interferon alpha-I';LeIF I;Interferon alpha-T;,,,,,,,35,"interferon_alpha_17;interferon alpha-88;interferon alpha-t;interferon, alpha-17;ifna17;ifn-alpha-17;ifn-alpha 17;interferon alpha 88;interferon alpha-wa;interferon alpha 17;interferon, alpha 17;leif2c1;interferon alpha-i';interferon alpha-17;leif i;interferon-alpha-17;",PR:000008914,interferon alpha-17,LeIF I;interferon alpha-T;interferon alpha-I';interferon alpha-88;IFNA17;IFN-alpha-17;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008914,147583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_74,Interferon-alpha 2,HGNC:5423,"interferon, alpha 2",3440,IFNA2 ,IFNA;INFA2;IFNA2B;IFN-alphaA;,leIF A;IFNalpha2;alpha2a interferon;interferon alpha A;interferon alpha2;interferon alpha 2b;interferon alpha 2a;,MGI:107666,interferon alpha 2,15965,Ifna2 ,Ifa2;,"interferon alpha family, gene 2;interferon alpha2;IFNalpha2;",IFNA2_HUMAN,Interferon alpha-2,IFN-alpha-2;Interferon alpha-A;LeIF A;,B1AYH7_MOUSE,,,,,,18,Interferon_alpha_2;,PR:000008915,interferon alpha-2,LeIF A;IFNA2;IFN-alpha-2;interferon alpha-A;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008915,147562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_75,Interferon-alpha 21,HGNC:5424,"interferon, alpha 21",3452,IFNA21 ,LeIF F;leIF-F;IFN-alphaI;,IFNalpha21;interferon alpha21;leukocyte interferon protein;interferon alphaF;,,,,,,,IFN21_HUMAN,Interferon alpha-21,IFN-alpha-21;Interferon alpha-F;LeIF F;,,,,,,,20,Interferon_alpha_21;,PR:000008916,interferon alpha-21,interferon alpha-F;IFN-alpha-21;IFNA21;LeIF F;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008916,147584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_76,Interferon-alpha 4,HGNC:5425,"interferon, alpha 4",3441,IFNA4 ,INFA4;IFN-alpha4a;,interferon alphaM1;IFNalpha4;interferon alpha4B;interferon alpha4;interferon alpha76;,MGI:107664,interferon alpha 4,15967,Ifna4 ,Ifa4;,"MuIFNalpha 4;interferon alpha family, gene 4;IFNalpha4;interferon alpha4;",IFNA4_HUMAN,Interferon alpha-4,IFN-alpha-4;Interferon alpha-4B;Interferon alpha-76;Interferon alpha-M1;,IFNA4_MOUSE,Interferon alpha-4,IFN-alpha-4;,,,,22,Interferon_alpha_4;,PR:000008917,interferon alpha-4,IFNA4;interferon alpha-76;interferon alpha-4B;IFN-alpha-4;interferon alpha-M1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008917,147564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_77,Interferon-alpha 5,HGNC:5426,"interferon, alpha 5",3442,IFNA5 ,INA5;INFA5;leIF G;IFN-alphaG;IFN-alpha-5;,interferon alpha5;interferon alpha61;interferon alphaG;,MGI:107663,interferon alpha 5,15968,Ifna5 ,Ifa5;,"interferon alpha5;interferon alpha family, gene 5;IFNalpha5;",IFNA5_HUMAN,Interferon alpha-5,IFN-alpha-5;Interferon alpha-61;Interferon alpha-G;LeIF G;,Q810G2_MOUSE,,,,,,24,Interferon_alpha_5;,PR:000008918,interferon alpha-5,interferon alpha-G;IFNA5;IFN-alpha-5;interferon alpha-61;LeIF G;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008918,147565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_78,Interferon-alpha 6,HGNC:5427,"interferon, alpha 6",3443,IFNA6 ,IFN-alphaK;,IFNalpha6;interferon alpha54;leIF K;interferon alpha6;interferon alphaK;,MGI:107662,interferon alpha 6,15969,Ifna6 ,Ifa6;Ifa8;Ifna8;IFNa8/6;,"interferon alpha family, gene 6;IFNalpha6;IFNalpha8;interferon alpha6;interferon alpha 8/6;interferon alpha family, gene 8;interferon alpha8;",IFNA6_HUMAN,Interferon alpha-6,IFN-alpha-6;Interferon alpha-54;Interferon alpha-K;LeIF K;,Q810G5_MOUSE,,,,,,26,Interferon_alpha_6;,PR:000008919,interferon alpha-6,interferon alpha-54;IFN-alpha-6;interferon alpha-K;LeIF K;Ifa6;IFN-alpha-8;Ifna8;Ifa8;IFNA6;interferon alpha-8;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008919,147566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_79,Interferon-alpha 7,HGNC:5428,"interferon, alpha 7",3444,IFNA7 ,IFNA-J;IFN-alphaJ;,IFNalpha 7;IFNalpha7;interferon alpha7;leIF J;interferon alphaJ1;IFNalphaJ1;interferon alphaJ;,MGI:107661,interferon alpha 7,15970,Ifna7 ,Ifa7;,"IFNalpha7;interferon alpha family, gene 7;interferon alpha7;",IFNA7_HUMAN,Interferon alpha-7,IFN-alpha-7;Interferon alpha-J;LeIF J;Interferon alpha-J1;IFN-alpha-J1;,Q810G6_MOUSE,,,,,,28,Interferon_alpha_7;,PR:000008920,interferon alpha-7,IFNA7;LeIF J;IFN-alpha-J1;IFN-alpha-7;interferon alpha-J1;interferon alpha-J;Ifa7;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008920,147567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
